"VI","STR_wet","STR_dry"
0.1125,0.810134017467499,0.521018922328949
0.1175,0.79713848233223,0.473173931241035
0.1225,0.80527400970459,0.485528558492661
0.1275,0.82064608335495,0.472016540169716
0.1325,0.826732289791107,0.482832211256027
0.1375,0.865556514263153,0.482050979137421
0.1425,0.941196882724762,0.487263941764832
0.1475,0.950839674472809,0.504205334186554
0.1525,0.952581477165222,0.501327037811279
0.1575,0.965699756145477,0.527151548862457
0.1625,0.949437928199768,0.548312532901764
0.1675,0.946375620365143,0.548015511035919
0.1725,0.948188102245331,0.575604832172394
0.1775,0.925950276851654,0.632997238636017
0.1825,0.938203036785126,0.661878675222397
0.1875,0.936772763729095,0.652527928352356
0.1925,0.914391541481018,0.62959371805191
0.1975,0.910202646255493,0.600483191013336
0.2025,0.942619717121124,0.630576801300049
0.2075,0.928832334280014,0.59756383895874
0.2125,0.967729473114014,0.613405430316925
0.2175,0.975653868913651,0.611312532424927
0.2225,0.977827560901642,0.611408507823944
0.2275,0.979926645755768,0.647083461284637
0.2325,0.949040412902832,0.616732394695282
0.2375,0.989148777723312,0.61718835234642
0.2425,0.984614717960358,0.625307333469391
0.2475,0.963048905134201,0.639942824840546
0.2525,1.00239664316177,0.609432053565979
0.2575,0.987541842460632,0.617575109004974
0.2625,0.937640130519867,0.604114472866058
0.2675,0.914506620168686,0.60699126124382
0.2725,0.905367177724838,0.61476998925209
0.2775,0.940451472997666,0.616075909137726
0.2825,0.922993510961533,0.629629808664322
0.2875,0.837926626205444,0.634556114673615
0.2925,1.22168500423431,0.669907379150391
0.2975,1.20939154624939,0.642975342273712
0.3025,1.20879498720169,0.690870654582977
0.3075,1.25319337844849,0.670560777187347
0.3125,1.20293452739716,0.678449404239654
0.3175,1.20366178750992,0.689628493785858
0.3225,1.22024154663086,0.684942352771759
0.3275,1.21477785110474,0.663671767711639
0.3325,1.22977222204208,0.722276812791824
0.3375,1.224684715271,0.762432128190994
0.3425,1.23543703556061,0.759382903575897
0.3475,1.2103478550911,0.756953746080399
0.3525,1.1910829782486,0.739575207233429
0.3575,1.17836022377014,0.757637500762939
0.3625,1.13205841779709,0.780403912067413
0.3675,1.15296183824539,0.77691160440445
0.3725,1.13969843387604,0.778853642940521
0.3775,1.14034875631332,0.779659152030945
0.3825,1.11926729679108,0.817779982089996
0.3875,1.10516276359558,0.813331723213196
0.3925,1.09068840742111,0.822765350341797
0.3975,1.18707501888275,0.857110077142715
0.4025,1.11865907907486,0.859121590852737
0.4075,1.19421339035034,0.881937307119369
0.4125,1.16984680891037,0.871341252326965
0.4175,1.19350674152374,0.903782391548157
0.4225,1.15173842906952,0.870195323228836
0.4275,1.16363346576691,0.903710007667542
0.4325,1.30126029253006,0.991696500778198
0.4375,1.21096221208572,0.927102565765381
0.4425,1.31442359685898,0.959758907556534
0.4475,1.27584646940231,1.01365180015564
0.4525,1.31247409582138,1.0269859790802
0.4575,1.31655859947205,1.01671719551086
0.4625,1.31338608264923,1.07466197013855
