"VI","STR_wet","STR_dry","STR_wet_fit","STR_dry_fit"
0.2425,1.55071669816971,0.86691677570343,1.67762192761679,0.904466549670831
0.2475,1.75313488841057,0.846277791261673,1.69518635068069,0.912172922107902
0.2525,1.57675718069077,0.877759498357773,1.71293467033803,0.919944955542785
0.2575,1.72184003591537,0.829363429546356,1.73086881195562,0.927783209430226
0.2625,1.88808183073998,0.839047476649284,1.74899072105852,0.935688247991722
0.2675,1.79251178503036,0.871546202898026,1.76730236354113,0.943660640256134
0.2725,1.8353337585926,0.885550633072853,1.78580572588044,0.95170096010065
0.2775,1.88931136131287,0.861943888664246,1.80450281535153,0.959809786292092
0.2825,1.83253666162491,0.879418736696243,1.82339566024529,0.96798770252858
0.2875,1.7669549882412,0.908673644065857,1.8424863100885,0.976235297481544
0.2925,1.85972332954407,1.02961075305939,1.86177683586615,0.984553164838105
0.2975,1.90165573358536,0.946094852685928,1.88126933024609,0.992941903343804
0.3025,1.93823456764221,1.02183561325073,1.90096590780605,1.0014021168457
0.3075,1.95035660266876,1.01637816429138,1.92086870526304,1.00993441433586
0.3125,1.95984035730362,1.05408296585083,1.94097988170514,1.01853940999515
0.3175,1.9860349714756,1.07747764587402,1.96130161882575,1.02721772323748
0.3225,1.973116928339,1.10958351492882,1.9818361211602,1.0359699787544
0.3275,1.90222382545471,1.04556429386139,2.00258561632496,1.04479680656005
0.3325,2.08932491540909,1.1098294198513,2.02355235525927,1.05369884203648
0.3375,2.07256826162338,1.10291268825531,2.04473861246933,1.06267672597945
0.3425,1.97429819107056,1.11996182203293,2.06614668627505,1.07173110464451
0.3475,2.10889616012573,1.12282917499542,2.08777889905935,1.08086262979355
0.3525,2.08114256858826,1.14454491138458,2.10963759752013,1.09007195874169
0.3575,2.08313939571381,1.05328950285912,2.13172515292482,1.09935975440459
0.3625,2.25708073377609,1.15404239296913,2.15404396136763,1.1087266853462
0.3675,2.03624008893967,1.16617950797081,2.17659644402947,1.11817342582689
0.3725,2.36243510246277,1.18679603338242,2.19938504744063,1.12770065585192
0.3775,2.12208051681519,1.16702674627304,2.22241224374615,1.13730906122046
0.3825,2.19113993644714,1.14318609237671,2.24568053097401,1.14699933357493
0.3875,2.17171487808228,1.13643659353256,2.26919243330616,1.15677217045079
0.3925,2.20744256973267,1.13303973674774,2.29295050135229,1.16662827532673
0.3975,2.26927013397217,1.17729218006134,2.31695731242655,1.17656835767533
0.4025,2.26851493120193,1.19595340490341,2.34121547082716,1.18659313301414
0.4075,2.22725588083267,1.19094693660736,2.36572760811889,1.19670332295716
0.4125,2.39691436290741,1.20211359858513,2.39049638341857,1.20689965526679
0.4175,2.24533753395081,1.19139091968536,2.41552448368353,1.21718286390623
0.4225,2.31682825088501,1.20088243484497,2.44081462400311,1.2275536890923
0.4275,2.34029000997543,1.21971197724342,2.46636954789318,1.23801287734872
0.4325,2.32955884933472,1.20886688232422,2.49219202759375,1.24856118155988
0.4375,2.51072770357132,1.24750140309334,2.51828486436975,1.25919936102497
0.4425,2.41951566934586,1.20857384800911,2.54465088881487,1.26992818151271
0.4475,2.49130594730377,1.26480242013931,2.57129296115865,1.28074841531641
0.4525,2.57412631511688,1.25615747570992,2.59821397157676,1.29166084130962
0.4575,2.59531401395798,1.2652562379837,2.62541684050454,1.30266624500215
0.4625,2.5651575088501,1.28414120078087,2.65290451895377,1.31376541859662
0.4675,2.58628978729248,1.33407412171364,2.68067998883287,1.32495916104551
0.4725,2.5189736366272,1.31536133289337,2.70874626327034,1.33624827810865
0.4775,2.77297186851501,1.32846349477768,2.73710638694161,1.34763358241122
0.4825,2.63615477085113,1.35154269337654,2.76576343639937,1.35911589350227
0.4875,2.64038187265396,1.35830971002579,2.79472052040733,1.37069603791367
0.4925,2.9310422539711,1.38002595305443,2.82398078027741,1.38237484921966
0.4975,2.86554636955261,1.4354672908783,2.85354739021055,1.39415316809679
0.5025,2.90862137079239,1.43373772501945,2.88342355764104,1.40603184238451
0.5075,2.80099987983704,1.42604558467865,2.91361252358451,1.41801172714613
0.5125,3.00310120582581,1.44209160804749,2.94411756298943,1.43009368473041
0.5175,3.13947203159332,1.50417852401733,2.9749419850925,1.44227858483363
0.5225,2.98340715169907,1.48896813988686,3.00608913377752,1.45456730456216
0.5275,3.31167442798614,1.46704131960869,3.03756238793823,1.46696072849567
0.5325,3.29881105422974,1.52227377891541,3.06936516184483,1.47945974875071
0.5375,3.05579043626785,1.51641510725021,3.10150090551434,1.49206526504501
0.5425,3.4582085609436,1.49631106853485,3.1339731050849,1.50477818476221
0.5475,3.43563532829285,1.5246958732605,3.16678528319395,1.51759942301716
0.5525,3.47705936431885,1.55505573749542,3.19994099936033,1.53052990272181
0.5575,3.44911668300629,1.5841552734375,3.23344385037047,1.54357055465166
0.5625,3.7368848323822,1.55313935279846,3.26729747066856,1.55672231751273
0.5675,3.61634701490402,1.61799222230911,3.3015055327508,1.56998613800915
0.5725,3.57692584991455,1.55914404392242,3.33607174756383,1.58336297091131
0.5775,3.73868874311447,1.61978139281273,3.37099986490728,1.59685377912456
0.5825,3.62878212928772,1.61618218421936,3.40629367384056,1.61045953375856
0.5875,3.66826050281525,1.58424265980721,3.4419570030939,1.62418121419715
0.5925,3.5812705874443,1.60969789028168,3.47799372148372,1.63801980816887
0.5975,3.63096714019775,1.66192224621773,3.51440773833227,1.65197631181806
0.6025,3.77984547615051,1.67528599500656,3.55120300389178,1.66605172977655
0.6075,3.8370493888855,1.70826053619385,3.58838350977296,1.68024707523599
0.6125,3.787353515625,1.71961095333099,3.62595328937803,1.69456337002078
0.6175,3.76809320449829,1.72567105293274,3.66391641833823,1.70900164466162
0.6225,3.84660530090332,1.73809003829956,3.70227701495602,1.72356293846969
0.6275,3.77616288661957,1.77031761407852,3.74103924065179,1.73824829961148
0.6325,3.84846363067627,1.78340759277344,3.7802073004153,1.7530587851842
0.6375,3.92628594636917,1.80201588869095,3.81978544326187,1.76799546129193
0.6425,3.93294520378113,1.81987411975861,3.85977796269328,1.78305940312232
0.6475,3.99526926279068,1.88439933657646,3.90018919716361,1.79825169502397
0.6525,3.90097993612289,1.89470183253288,3.94102353054977,1.81357343058456
0.6575,4.05864944458008,1.90680816173553,3.98228539262719,1.82902571270947
0.6625,4.00988125801086,1.87995362281799,4.02397925955027,1.84460965370126
0.6675,4.02455337047577,1.96117504835129,4.06610965433804,1.86032637533968
0.6725,4.09911279678345,1.9595388174057,4.10868114736476,1.87617700896244
0.6775,4.18284330368042,2.03205428123474,4.15169835685576,1.89216269554665
0.6825,4.22127048969269,2.0527449965477,4.19516594938843,1.90828458579093
0.6875,4.11797459125519,2.06525911092758,4.23908864039845,1.92454384019827
0.6925,4.32107219696045,2.06838736534119,4.28347119469131,1.94094162915955
0.6975,4.23671855926514,2.14876146316528,4.32831842695924,1.95747913303779
0.7025,4.26828680038452,2.16450831890106,4.37363520230348,1.97415754225312
0.7075,4.27773039340973,2.2054515004158,4.41942643676211,1.99097805736846
0.7125,4.31995177268982,2.19212242364883,4.46569709784328,2.00794188917595
0.7175,4.41136040687561,2.21677479743958,4.51245220506412,2.02505025878411
0.7225,4.59051942825317,2.28172183036804,4.5596968304953,2.04230439770573
0.7275,4.58833742141724,2.27657628059387,4.6074360993112,2.05970554794652
0.7325,4.52154669761658,2.301322722435,4.65567519034595,2.07725496209451
0.7375,4.55051484107971,2.33287373781204,4.7044193366552,2.09495390341023
0.7425,4.59006285667419,2.28845554590225,4.75367382608381,2.11280364591763
0.7475,4.61265735626221,2.29995603561401,4.80344400183953,2.13080547449578
0.7525,4.66314103603363,2.28848540782928,4.85373526307259,2.14896068497138
0.7575,4.71080462932587,2.3396855711937,4.90455306546141,2.16727058421203
0.7625,4.70666408538818,2.41913504600525,4.95590292180449,2.1857364902203
0.7675,4.91684494018555,2.36620166301727,5.0077904026184,2.20435973222861
0.7725,4.85439519882202,2.35917801856995,5.06022113674208,2.22314165079488
0.7775,4.87627792358398,2.33753675222397,5.11320081194751,2.24208359789909
0.7825,4.95957741737366,2.20167577266693,5.16673517555667,2.26118693704054
0.7875,5.18087868690491,2.27010219097137,5.22083003506506,2.28045304333604
0.7925,4.82382175922394,2.34790340662003,5.27549125877169,2.29988330361885
0.7975,5.17298059463501,2.25117852687836,5.33072477641569,2.31947911653856
0.8025,4.87741553783417,2.25905066728592,5.38653657981958,2.33924189266175
0.8075,5.39559075832367,2.33371187448502,5.44293272353924,2.3591730545735
0.8125,5.3516288280487,2.21001327037811,5.49991932552078,2.37927403697983
0.8175,5.73955135345459,2.30088027715683,5.55750256776417,2.39954628681095
0.8225,6.09520616531372,2.15578589439392,5.6156886969939,2.41999126332544
0.8275,5.85625243186951,2.23794274330139,5.67448402533662,2.44061043821525
0.8325,5.70346932411194,2.1424050450325,5.73389493100591,2.46140529571168
0.8375,5.47302761077881,2.19027123451233,5.79392785899417,2.48237733269219
0.8425,6.14820873737335,2.17668032646179,5.85458932177183,2.50352805878818
0.8475,5.94709703922272,2.26845571994782,5.91588589999377,2.52485899649362
0.8525,5.6143324136734,2.30729970932007,5.97782424321325,2.54637168127466
0.8575,6.97127447128296,2.09148292541504,6.04041107060327,2.56806766168019
0.8625,5.54585683345795,2.18300849199295,6.10365317168541,2.58994849945325
0.8675,7.04040393829346,2.24605320692062,6.16755740706644,2.6120157696435
0.8725,5.73700876235962,2.27984583377838,6.23213070918256,2.63427106072054
