"VI","STR_wet","STR_dry","STR_wet_fit","STR_dry_fit"
0.2225,1.36292822957039,0.789941903948784,1.04609112060504,0.685829946763198
0.2275,1.37867760658264,0.764311119914055,1.08082006741546,0.69965004261142
0.2325,1.35475416183472,0.795709466934204,1.11554901422587,0.713470138459636
0.2375,1.43308343887329,0.801171314716339,1.15027796103628,0.727290234307856
0.2425,1.45209693312645,0.807655516266823,1.1850069078467,0.741110330156075
0.2475,1.61937543153763,0.781633722782135,1.21973585465711,0.754930426004295
0.2525,1.54438390731811,0.826757699251175,1.25446480146753,0.768750521852514
0.2575,1.64467513561249,0.80840685069561,1.28919374827794,0.782570617700734
0.2625,1.76096180081367,0.828970968723297,1.32392269508836,0.796390713548953
0.2675,1.69622439146042,0.842140954732895,1.35865164189877,0.810210809397173
0.2725,1.61094331741333,0.866320475935936,1.39338058870918,0.824030905245392
0.2775,1.75834137201309,0.875655269622803,1.4281095355196,0.837851001093612
0.2825,1.76709904074669,0.870693647861481,1.46283848233001,0.851671096941831
0.2875,1.73823471069336,0.902529346942902,1.49756742914043,0.865491192790051
0.2925,1.81151607632637,0.925832769274712,1.53229637595084,0.87931128863827
0.2975,1.85712504386902,0.973914206027985,1.56702532276126,0.89313138448649
0.3025,1.83798568844795,0.988636380434036,1.60175426957167,0.906951480334709
0.3075,1.81210381984711,0.943638169765472,1.63648321638209,0.920771576182928
0.3125,1.85299822688103,1.04762426018715,1.6712121631925,0.934591672031148
0.3175,1.942242872715,0.986721330881119,1.70594111000291,0.948411767879368
0.3225,1.94902062416077,1.07892525196075,1.74067005681333,0.962231863727587
0.3275,1.875569409132,0.993091908097267,1.77539900362374,0.976051959575806
0.3325,2.03510746955872,0.98021115064621,1.81012795043416,0.989872055424026
0.3375,1.96827260255814,1.02979946136475,1.84485689724457,1.00369215127225
0.3425,1.8837452173233,1.06904950141907,1.87958584405499,1.01751224712046
0.3475,1.94368617534637,1.02320165634155,1.9143147908654,1.03133234296868
0.3525,1.99616333842278,1.05861321091652,1.94904373767581,1.0451524388169
0.3575,1.96210951209068,0.988639664649963,1.98377268448623,1.05897253466512
0.3625,2.04687633514404,1.11137166023254,2.01850163129664,1.07279263051334
0.3675,1.95285773873329,1.09535354375839,2.05323057810706,1.08661272636156
0.3725,2.2493239402771,1.08764970302582,2.08795952491747,1.10043282220978
0.3775,1.99787920713425,1.11725556850433,2.12268847172789,1.114252918058
0.3825,1.98985493183136,1.12987456321716,2.1574174185383,1.12807301390622
0.3875,2.0737685918808,1.1027850985527,2.19214636534871,1.14189310975444
0.3925,2.0818439245224,1.10835855007172,2.22687531215913,1.15571320560266
0.3975,2.08785047531128,1.16591198444366,2.26160425896954,1.16953330145088
0.4025,2.1674241065979,1.15450296401978,2.29633320577996,1.1833533972991
0.4075,2.10324287414551,1.14209158420563,2.33106215259037,1.19717349314732
0.4125,2.24083217382431,1.16994299888611,2.36579109940079,1.21099358899554
0.4175,2.11711466312408,1.18218590021133,2.4005200462112,1.22481368484376
0.4225,2.16733868122101,1.18021771907806,2.43524899302162,1.23863378069198
0.4275,2.22741566896438,1.19126960635185,2.46997793983203,1.2524538765402
0.4325,2.20994658470154,1.168807721138,2.50470688664244,1.26627397238842
0.4375,2.27569282054901,1.19377148151398,2.53943583345286,1.28009406823664
0.4425,2.25744463205338,1.19194646477699,2.57416478026327,1.29391416408485
0.4475,2.26836705207825,1.24605989456177,2.60889372707369,1.30773425993307
0.4525,2.34614400863647,1.21259626150131,2.6436226738841,1.32155435578129
0.4575,2.40551327466965,1.24770356416702,2.67835162069452,1.33537445162951
0.4625,2.35797452926636,1.25834652781487,2.71308056750493,1.34919454747773
0.4675,2.39937851428986,1.28792590498924,2.74780951431534,1.36301464332595
0.4725,2.40610918998718,1.29215939044952,2.78253846112576,1.37683473917417
0.4775,2.48652497529983,1.29880129098892,2.81726740793617,1.39065483502239
0.4825,2.4493967294693,1.33180940151215,2.85199635474659,1.40447493087061
0.4875,2.49681830406189,1.34572178125381,2.886725301557,1.41829502671883
0.4925,2.60462365150452,1.33972178697586,2.92145424836742,1.43211512256705
0.4975,2.61499012708664,1.41273679733276,2.95618319517783,1.44593521841527
0.5025,2.71575756072998,1.41682604551315,2.99091214198824,1.45975531426349
0.5075,2.66646815538406,1.39745475053787,3.02564108879866,1.47357541011171
0.5125,2.74963849782944,1.43348813056946,3.06037003560907,1.48739550595993
0.5175,2.85320615768433,1.46359333395958,3.09509898241949,1.50121560180815
0.5225,2.78201031684875,1.47575821280479,3.1298279292299,1.51503569765637
0.5275,2.93368238210678,1.47197639942169,3.16455687604032,1.52885579350459
0.5325,3.01483874320984,1.52063269615173,3.19928582285073,1.54267588935281
0.5375,2.91333693265915,1.48042079806328,3.23401476966114,1.55649598520102
0.5425,3.15412073135376,1.48996028900146,3.26874371647156,1.57031608104924
0.5475,3.2756973862648,1.52472354769707,3.30347266328197,1.58413617689746
0.5525,3.22549510002136,1.532337641716,3.33820161009239,1.59795627274568
0.5575,3.28531841039658,1.5883816421032,3.3729305569028,1.6117763685939
0.5625,3.46021085977554,1.5123105943203,3.40765950371322,1.62559646444212
0.5675,3.39872379302979,1.60966591238976,3.44238845052363,1.63941656029034
0.5725,3.47476966381073,1.5575226187706,3.47711739733405,1.65323665613856
0.5775,3.53054423332214,1.61725487709045,3.51184634414446,1.66705675198678
0.5825,3.53319280147552,1.61100119352341,3.54657529095487,1.680876847835
0.5875,3.61618940830231,1.5684572994709,3.58130423776529,1.69469694368322
0.5925,3.51859822273254,1.61652683019638,3.6160331845757,1.70851703953144
0.5975,3.56413724422455,1.65561021566391,3.65076213138612,1.72233713537966
0.6025,3.67759461402893,1.65166435241699,3.68549107819653,1.73615723122788
0.6075,3.7547595500946,1.70257577896118,3.72022002500695,1.7499773270761
0.6125,3.75333454608917,1.71178362965584,3.75494897181736,1.76379742292432
0.6175,3.73918957710266,1.67617647647858,3.78967791862777,1.77761751877254
0.6225,3.81139695644379,1.73730611801147,3.82440686543819,1.79143761462076
0.6275,3.7523863196373,1.76443518996239,3.8591358122486,1.80525771046898
0.6325,3.83604762554169,1.77726259231567,3.89386475905902,1.81907780631719
0.6375,3.92382478713989,1.78139674663544,3.92859370586943,1.83289790216541
0.6425,3.92911858558655,1.80765837430954,3.96332265267985,1.84671799801363
0.6475,3.98933684825897,1.86229273676872,3.99805159949026,1.86053809386185
0.6525,3.89682894945145,1.88933882713318,4.03278054630067,1.87435818971007
0.6575,4.05828804969788,1.90633180141449,4.06750949311109,1.88817828555829
0.6625,4.00912873744965,1.87315658926964,4.1022384399215,1.90199838140651
0.6675,4.0231612443924,1.95308347940445,4.13696738673192,1.91581847725473
0.6725,4.09636192321777,1.94966832399368,4.17169633354233,1.92963857310295
0.6775,4.18218355178833,2.0275622844696,4.20642528035275,1.94345866895117
0.6825,4.21989209651947,2.04875075817108,4.24115422716316,1.95727876479939
0.6875,4.11718702316284,2.06061782836914,4.27588317397358,1.97109886064761
0.6925,4.31939077377319,2.06771087646484,4.31061212078399,1.98491895649583
0.6975,4.23581476211548,2.14231383800507,4.3453410675944,1.99873905234405
0.7025,4.26798510551453,2.16380679607391,4.38007001440482,2.01255914819227
0.7075,4.27773039340973,2.2054515004158,4.41479896121523,2.02637924404049
0.7125,4.31885838508606,2.19280523061752,4.44952790802565,2.04019933988871
0.7175,4.41136040687561,2.21677479743958,4.48425685483606,2.05401943573693
0.7225,4.59051942825317,2.28172183036804,4.51898580164648,2.06783953158515
0.7275,4.58833742141724,2.27657628059387,4.55371474845689,2.08165962743336
0.7325,4.52154669761658,2.301322722435,4.5884436952673,2.09547972328158
0.7375,4.55051484107971,2.33287373781204,4.62317264207772,2.1092998191298
0.7425,4.59006285667419,2.28845554590225,4.65790158888813,2.12311991497802
0.7475,4.61265735626221,2.29995603561401,4.69263053569855,2.13694001082624
0.7525,4.66314103603363,2.28848540782928,4.72735948250896,2.15076010667446
0.7575,4.71080462932587,2.3396855711937,4.76208842931938,2.16458020252268
0.7625,4.70666408538818,2.41913504600525,4.79681737612979,2.1784002983709
0.7675,4.91684494018555,2.36620166301727,4.8315463229402,2.19222039421912
0.7725,4.85439519882202,2.35917801856995,4.86627526975062,2.20604049006734
0.7775,4.87627792358398,2.33753675222397,4.90100421656103,2.21986058591556
0.7825,4.95957741737366,2.20167577266693,4.93573316337145,2.23368068176378
0.7875,5.18087868690491,2.27010219097137,4.97046211018186,2.247500777612
0.7925,4.82382175922394,2.34790340662003,5.00519105699228,2.26132087346022
0.7975,5.17298059463501,2.25117852687836,5.03992000380269,2.27514096930844
0.8025,4.87741553783417,2.25905066728592,5.0746489506131,2.28896106515666
0.8075,5.39559075832367,2.33371187448502,5.10937789742352,2.30278116100488
0.8125,5.3516288280487,2.21001327037811,5.14410684423393,2.3166012568531
0.8175,5.73955135345459,2.30088027715683,5.17883579104435,2.33042135270132
0.8225,6.09520616531372,2.15578589439392,5.21356473785476,2.34424144854954
0.8275,5.85625243186951,2.23794274330139,5.24829368466518,2.35806154439775
0.8325,5.70346932411194,2.1424050450325,5.28302263147559,2.37188164024597
0.8375,5.47302761077881,2.19027123451233,5.317751578286,2.38570173609419
0.8425,6.14820873737335,2.17668032646179,5.35248052509642,2.39952183194241
0.8475,5.94709703922272,2.26845571994782,5.38720947190683,2.41334192779063
0.8525,5.6143324136734,2.30729970932007,5.42193841871725,2.42716202363885
